file_id,rl_type,ai_detection,collaboration_rating,play_again
experiment_data_60b3950b9a1de417d37bb8d2_2025-08-27T15-55-55-401Z.xlsx,joint,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_66620c24b9b110fb26375821_2025-08-27T16-33-53-788Z.xlsx,individual,Definitely an AI,Poor collaborator,Probably not play again
experiment_data_5f2b0ad7bc24294b9f032fbe_2025-08-27T15-52-14-756Z.xlsx,individual,Definitely an AI,Neutral,Probably not play again
experiment_data_5d684971f5868700184eab81_2025-08-27T15-48-53-971Z.xlsx,joint,Probably a person,Good collaborator,Not sure
experiment_data_5e45a09c8155b00828c83d95_2025-08-27T15-48-56-462Z.xlsx,joint,Probably a person,Very good collaborator,Definitely play again
experiment_data_62682277645054f5802459b8_2025-08-25T19-53-17-908Z.xlsx,individual,Definitely an AI,Neutral,Definitely play again
experiment_data_662e66138060bf4a9db8c159_2025-08-25T19-54-00-184Z.xlsx,individual,Not sure,Poor collaborator,Definitely play again
experiment_data_5eb29a3db97d6b0008d24a1a_2025-08-27T15-49-05-794Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_636bd30e14a5a0787697f56b_2025-08-25T19-50-31-815Z.xlsx,individual,Probably an AI,Neutral,Probably play again
experiment_data_66929bbddece52b3d6569339_2025-08-27T17-22-32-666Z.xlsx,individual,Definitely an AI,Very poor collaborator,Definitely not play again
experiment_data_676cdf06a9a9208a2b1ed100_2025-08-25T20-08-52-611Z.xlsx,individual,Probably an AI,Neutral,Probably play again
experiment_data_5d2db62ac45885001abf9ce3_2025-08-27T15-54-00-612Z.xlsx,individual,Probably a person,Very good collaborator,Probably not play again
experiment_data_677401d939f129f94d412a63_2025-08-25T19-54-13-321Z.xlsx,joint,Probably an AI,Good collaborator,Definitely play again
experiment_data_5b5a822e1ad8270001c4f28d_2025-08-27T16-21-51-891Z.xlsx,individual,Probably an AI,Good collaborator,Definitely play again
experiment_data_63d79fcd741f9cfb2f87152f_2025-08-27T16-33-01-347Z.xlsx,individual,Not sure,Good collaborator,Probably play again
experiment_data_545d347afdf99b7f9fca22c7_2025-08-25T19-50-11-587Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_5a4ff86beedc32000141f232_2025-08-27T16-24-11-734Z.xlsx,joint,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_67606392711c56c57996d9c0_2025-08-27T15-51-46-050Z.xlsx,individual,Probably an AI,Poor collaborator,Probably play again
experiment_data_656000af0e4ff12b601488e1_2025-08-27T16-24-33-903Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_57655a2aea19ef00016351cf_2025-08-27T15-50-38-195Z.xlsx,joint,Probably a person,Very good collaborator,Not sure
experiment_data_5f147c831589684ed6fd4cb8_2025-08-27T16-24-31-595Z.xlsx,individual,Probably an AI,Very good collaborator,Definitely play again
experiment_data_5beb492b5324b10001c26ae8_2025-08-25T20-04-15-784Z.xlsx,individual,Probably an AI,Neutral,Definitely play again
experiment_data_6772ed74a16a7086a77e5d6e_2025-08-25T19-56-41-453Z.xlsx,joint,Probably a person,Very good collaborator,Not sure
experiment_data_59f226a9d6380600018b2923_2025-08-27T16-31-32-720Z.xlsx,joint,Probably a person,Very good collaborator,Probably play again
experiment_data_558996f2fdf99b7ae47f5ed2_2025-08-27T16-35-05-566Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_57d5ab3a722df500017f3622_2025-08-27T15-52-09-347Z.xlsx,individual,Probably an AI,Good collaborator,Probably play again
experiment_data_6764697d9d4afb4e6bfe1c4e_2025-08-27T15-54-03-038Z.xlsx,individual,Probably an AI,Poor collaborator,Not sure
experiment_data_5dad4c34b3446a0015e3de93_2025-08-27T15-54-49-746Z.xlsx,joint,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_6713eeea64ca1fb59cbcbce4_2025-08-25T19-50-21-772Z.xlsx,individual,Probably an AI,Very good collaborator,Definitely play again
experiment_data_651ac88823e71c05dbc1ff63_2025-08-27T15-52-32-793Z.xlsx,joint,Probably an AI,Very good collaborator,Definitely play again
experiment_data_662190146ef67bab626e48cb_2025-08-25T19-50-11-320Z.xlsx,joint,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_5623f187ed6e5a0011c81083_2025-08-25T20-16-07-348Z.xlsx,joint,Probably an AI,Good collaborator,Probably play again
experiment_data_5fc59271971cc91189a1bdf0_2025-08-27T15-51-13-567Z.xlsx,individual,Probably an AI,Good collaborator,Definitely play again
experiment_data_67e282f63445e665072a9861_2025-08-27T15-53-34-679Z.xlsx,joint,Definitely an AI,Good collaborator,Definitely play again
experiment_data_66f2b62e0ed36bbf5a254874_2025-08-27T16-21-54-682Z.xlsx,joint,Not sure,Good collaborator,Probably play again
experiment_data_664a5be05bc29332beb2fced_2025-08-25T20-03-09-993Z.xlsx,individual,Definitely an AI,Very good collaborator,Probably play again
experiment_data_66084cde8c8b94db6ce51ac9_2025-08-25T19-58-53-832Z.xlsx,individual,Definitely an AI,Very good collaborator,Definitely play again
experiment_data_62fd14d7b1e0729dc8aadb79_2025-08-25T19-54-25-500Z.xlsx,joint,Definitely an AI,Good collaborator,Probably play again
experiment_data_5fc7694c36033201e9defeb7_2025-08-27T15-54-52-274Z.xlsx,individual,Definitely an AI,Poor collaborator,Not sure
